track_name,release_year,popularity,energy,danceability,valence,tempo,artist_name
My Shining Hour,1961,12,0.253,0.238,0.164,90.855,Ella Fitzgerald
Als Je Bij Me Bent,1990,22,0.712,0.47,0.28,146.181,Andre Hazes
El Negrito Sabrosón,1986,12,0.746,0.76,0.892,137.078,Binomio de Oro
(I Can't Get No) Satisfaction - Live in Europe; 2008 Remaster,1965,17,0.873,0.501,0.674,161.488,Otis Redding
"Dias De Luta, Dias De Gloria",2005,69,0.433,0.346,0.768,77.963,Charlie Brown Jr.
5' O'clock In the Morning,1981,36,0.765,0.591,0.528,85.874,Village People
Aí Já Era,2013,58,0.446,0.515,0.397,87.96,Jorge & Mateus
Tema Italiano,1969,21,0.505,0.511,0.289,114.422,Ennio Morricone
December Flower,1996,33,0.986,0.212,0.231,140.917,In Flames
Lethal Industry - Radio Edit,2010,53,0.949,0.513,0.0441,134.982,Tiësto
Latina (feat. Maluma),2019,63,0.713,0.826,0.75,102.071,Reykon
IN MY REMAINS,2012,62,0.907,0.553,0.451,100.967,Linkin Park
Desde Que Tu No Estas,1990,10,0.642,0.67,0.808,164.393,Jerry Rivera
Stars,2018,46,0.479,0.7,0.22,139.955,The Toys
"Jammin' - Live At The Pavillon De Paris, 1977",1978,35,0.875,0.654,0.597,128.934,Bob Marley & The Wailers
I'll Tumble 4 Ya,1987,28,0.845,0.835,0.759,112.485,Culture Club
Tu Jo Mila (Reprise),2015,42,0.441,0.473,0.265,122.017,Pritam
Till I'm Gone (feat. Wiz Khalifa),2010,42,0.891,0.723,0.884,163.995,Tinie Tempah
Hero Of War,2008,66,0.417,0.645,0.256,77.054,Rise Against
Monk's Mood - Rudy Van Gelder 24-Bit Mastering / 2001 Digital Remaster,1951,21,0.239,0.408,0.169,140.323,Thelonious Monk
Ponyo on the Cliff by the Sea,2008,47,0.399,0.821,0.775,120.047,Joe Hisaishi
These Days - 2020 Digital Remaster,1980,35,0.829,0.627,0.863,156.28,Joy Division
Me Enamoré,2019,71,0.357,0.495,0.456,179.74,Jay Wheeler
K-Love Fan Awards: Songs of the Year (2014 Mash-Up),2014,29,0.281,0.42,0.229,119.515,Anthem Lights
That's All,1999,49,0.654,0.699,0.784,87.686,Genesis
Here Comes Sunshine - 2013 Remaster,1973,28,0.322,0.645,0.456,88.913,Grateful Dead
Bem Melhor,2018,63,0.493,0.841,0.55,118.041,Lagum
Manic Monday,1986,60,0.594,0.685,0.853,121.761,The Bangles
The Real Me,1979,28,0.931,0.489,0.548,148.746,The Who
Beni Derde Salan Gelsin,2003,36,0.344,0.536,0.345,98.004,Musa Eroğlu
Once in a Lifetime - Live,1984,46,0.769,0.518,0.571,122.783,Talking Heads
Goin' Blind,1974,18,0.658,0.38,0.641,138.023,KISS
"12 Concerti grossi, Op. 6, HWV 319-330 / Concerto grosso In C Minor, Op. 6, No. 8, HWV 326: II. Grave",1953,0,0.132,0.142,0.0362,100.587,George Frideric Handel
Love,1954,12,0.555,0.55,0.842,126.903,Chet Baker
Como Duele Equivocarse,2020,68,0.334,0.641,0.681,78.48,Carin Leon
Bobo,2021,0,0.896,0.799,0.771,89.031,J Balvin
sweet sweet,2016,64,0.578,0.733,0.447,142.028,Travis Scott
ROCKSTAR,2021,12,0.69,0.746,0.497,89.979,DaBaby
Just The Two Of Us,1997,54,0.638,0.805,0.644,94.52,Will Smith
"Matthäus Passion, BWV 244: Aria, ""Blute nur, du liebes Herz!""",2007,40,0.054,0.322,0.0767,131.533,Johann Sebastian Bach
"Verdi : Un ballo in maschera : Act 1 - Quadro I ""Posa in pace"" [Chorus, Samuel, Tom]",1954,0,0.0285,0.272,0.25,77.527,Giuseppe Verdi
You & I,2013,56,0.524,0.55,0.285,130.672,Avant
Morning Has Broken - Demo Version,1971,22,0.433,0.434,0.5,152.48,Yusuf / Cat Stevens
Cosas Mías,1999,22,0.683,0.738,0.886,103.798,Los Abuelos De La Nada
Supersonic,1994,46,0.877,0.39,0.689,103.94,Oasis
Contradecir,2001,25,0.521,0.567,0.431,110.962,La Vela Puerca
分裂,2002,38,0.425,0.638,0.123,122.692,Jay Chou
#thatPOWER,2013,70,0.608,0.797,0.402,127.999,will.i.am
Manifest/Outro,1996,43,0.438,0.761,0.713,94.617,Fugees
Kentucky Straight,1973,17,0.253,0.489,0.645,83.215,Johnny Cash
時代,2001,43,0.944,0.585,0.591,100.043,ARASHI
Just Like The First Time,1986,21,0.347,0.555,0.192,75.934,Freddie Jackson
Do mundo nada se leva,1980,17,0.604,0.655,0.888,120.059,Milionário & José Rico
Murliwale Se Lage Nain,1954,0,0.265,0.451,0.795,81.991,Asha Bhosle
A Vontade Que Eu Tenho,2007,41,0.903,0.345,0.524,84.688,Cavaleiros do Forró
Green-Tinted Sixties Mind - 2010 Remastered Version,1991,45,0.767,0.448,0.254,106.365,Mr. Big
The Huckle-Buck,1968,26,0.5,0.812,0.973,111.606,Otis Redding
Te Propongo Matrimonio,1975,23,0.492,0.594,0.885,115.252,Juan Gabriel
To You,1961,12,0.114,0.219,0.163,110.216,Duke Ellington
Call Me a Spaceman - Radio Edit,2012,41,0.877,0.581,0.35,127.952,Hardwell
I Feel for You - Edit,1984,39,0.79,0.787,0.81,124.706,Chaka Khan
Advent,1996,32,0.886,0.318,0.221,138.28,Opeth
Elangathu,2013,43,0.479,0.694,0.735,143.974,Shreya Ghoshal
Devil's Child,1982,34,0.819,0.484,0.367,128.526,Judas Priest
Ayer,1989,22,0.691,0.556,0.875,165.448,Gloria Estefan
Hi Life,1996,43,0.606,0.663,0.613,79.721,UGK
Easy Crazy Break Down,2002,25,0.973,0.584,0.642,100.006,ARASHI
"Your Lady - Live At Birdland Jazzclub, New York City, NY, 10/18/1963",1963,21,0.449,0.271,0.0392,176.845,John Coltrane
Jeeva Veene,1978,28,0.646,0.445,0.619,133.266,S. P. Balasubrahmanyam
Da Maior Importância,1973,26,0.2,0.71,0.489,106.402,Gal Costa
(I Could Never) Give You Up,1988,33,0.917,0.632,0.832,108.045,Roxette
Ella Se Fue,2005,65,0.79,0.834,0.961,93.996,Kinto Sol
Heat Waves,2020,85,0.525,0.761,0.531,80.87,Glass Animals
